Tên,Năm ra mắt,Công nghệ xử lí hình ảnh,Giá (đ),Loại Tivi,Kích thước màn hình (inch),Độ phân giải,Tổng công suất loa (W),Tần số quét (Hz),Hãng sản xuất,Xuất xứ,Thời gian bảo hành (tháng)
Smart Tivi ULED Hisense 4K 75 inch 75U6K,2023,"Pixel Tuning, HLG, Hiển thị màu rực rỡ Quantum Dot Colour, HDR10+, HDR 600 nits, Dolby Vision, 4K AI Upscaler, Công nghệ giảm ánh sáng xanh, bảo vệ mắt, Full Array Local Dimming, Game Mode Plus, FilmMaker Mode",31990000,Smart Tivi ULED,75,4k,30,60,Hisense,Thái Lan,36
Google Tivi ULED 4K Hisense 65 inch 65U6K,2023,"Tự động điều chỉnh ánh sáng Adaptive Light Sensor, Pixel Tuning, HLG, Hiển thị màu rực rỡ Quantum Dot Colour, HDR10+, HDR 400 nits, Dolby Vision IQ, 4K AI Upscaler, Công nghệ giảm ánh sáng xanh, bảo vệ mắt, Full Array Local Dimming, Game Mode Plus, FilmMaker Mode",20990000,Smart Tivi ULED,65,4k,20,60,Hisense,Thái Lan,36
Google Tivi ULED 4K Hisense 55 inch 55U6K,2023,"Pixel Tuning, HLG, HDR10+, HDR 400 nits, Dolby Vision IQ, 4K AI Upscaler, Công nghệ giảm ánh sáng xanh, bảo vệ mắt, Full Array Local Dimming, Game Mode Plus, FilmMaker Mode",15990000,Smart Tivi ULED,55,4k,20,60,Hisense,Thái Lan,36
Google Tivi LED Hisense 4K 75 inch 75A6500K,2023,"Pixel Tuning, HLG, HDR10+, Dolby Vision, 4K AI Upscaler, FilmMaker Mode, Game mode",20990000,Google Tivi,75,4k,30,60,Hisense,Thái Lan,24
Android Tivi LED Hisense 32 inch 32A4200G,2023,Công nghệ Natural Color Enhancer tăng cường màu sắc tự nhiên,5990000,Android Tivi,32,HD,16,60,Hisense,Thái Lan,24
Google TV TCL 4K 75 inch 75P79B Pro,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision IQ, Dolby Vision, Dải màu rộng Wide Color Gamut, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Công nghệ 120 Hz DLG, Chống xé hình FreeSync Premium Pro",18290000,Google Tivi,75,4k,35,60,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 43 inch 43C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 120 Hz DLG",9490000,Google Tivi QLED,43,4k,30,60,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 55 inch 55C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 120 Hz DLG",13490000,Google Tivi QLED,55,4k,35,60,Tcl,Việt Nam,24
Google Tivi QLED  TCL 4K 65 inch 65C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 120 Hz DLG",17490000,Google Tivi QLED,65,4k,35,60,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 75 inch 75C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 120 Hz DLG",24990000,Google Tivi QLED,75,4k,35,120,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 85 inch 85C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 120 Hz DLG",37990000,Google Tivi QLED,85,4k,35,120,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 98 inch 98C69B,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Game Master, Công nghệ 240 Hz DLG",64900000,Google Tivi QLED,98,4k,35,120,Tcl,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",13390000,Google Tivi,55,4k,20,50,Sony,Việt Nam,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",13890000,Smart Tivi NanoCell,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 75 inch QA75Q80CAKXXV,2023,"Neural Quantum 4K, Quantum HDR+, Direct Full Array 8X, Supreme UHD Dimming, Motion Xcelerator Turbo+, Wide Viewing Angle",45900000,Smart Tivi QLED,75,4k,40,120,Samsung,Việt Nam,24
Smart Tivi OLED Samsung 4K 65 inch QA65S95BAKXXV,2022,"Neo Quantum 4K, Quantum Dot, HDR, OLED, Real Depth Enhancer, Ultra Viewing Angle",42900000,Smart Tivi OLED,65,4k,60,120,Samsung,Việt Nam,24
Smart Tivi NanoCell LG 4K 65 inch 65NANO76SQA,2022,"4K Upscaling, Active HDR- HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), HGIG Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",16890000,Smart Tivi NanoCell,65,4k,20,60,Lg,Indonesia,24
Smart Tivi LED LG 4K 55 inch 55UQ8000PSC,2022,"Nâng cấp độ phân giải 4K AI Upscaling, nâng cấp hình ảnh Image Enhancing, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, LG Local Contrast",12490000,Smart Tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 65 inch QA65Q70CAKXXV,2023,"Quantum 4K, Quantum HDR, Dual LED, Motion Xcelerator Turbo+, Wide Viewing Angle",25900000,Smart Tivi QLED,65,4k,20,120,Samsung,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",13390000,Google Tivi,55,4k,20,50,Sony,Việt Nam,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",13890000,Smart Tivi NanoCell,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 75 inch QA75Q80CAKXXV,2023,"Neural Quantum 4K, Quantum HDR+, Direct Full Array 8X, Supreme UHD Dimming, Motion Xcelerator Turbo+, Wide Viewing Angle",45900000,Smart Tivi QLED,75,4k,40,120,Samsung,Việt Nam,24
Smart Tivi OLED Samsung 4K 65 inch QA65S95BAKXXV,2022,"Neo Quantum 4K, Quantum Dot, HDR, OLED, Real Depth Enhancer, Ultra Viewing Angle",42900000,Smart Tivi OLED,65,4k,60,120,Samsung,Việt Nam,24
Smart Tivi NanoCell LG 4K 65 inch 65NANO76SQA,2022,"4K Upscaling, Active HDR- HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), HGIG Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",16890000,Smart Tivi NanoCell,65,4k,20,60,Lg,Indonesia,24
Smart Tivi LED LG 4K 55 inch 55UQ8000PSC,2022,"Nâng cấp độ phân giải 4K AI Upscaling, nâng cấp hình ảnh Image Enhancing, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, LG Local Contrast",12490000,Smart Tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 65 inch QA65Q70CAKXXV,2023,"Quantum 4K, Quantum HDR, Dual LED, Motion Xcelerator Turbo+, Wide Viewing Angle",25900000,Smart Tivi QLED,65,4k,20,120,Samsung,Việt Nam,24
Google Tivi Hisense 4K 55 inch 55A6500H,2022,Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision,7890000,Google TV,55,4k,20,60,Hisense,Thái Lan,24
Smart Tivi QLED Samsung 4K 55 inch QA55Q60BAKXXV,2022,"Motion Xcelerator, Supreme UHD Dimming, Brightness/Color Detection",13490000,Tivi QLED,55,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 65 inch XR-65X90L VN3,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity",32890000,Google Tivi,65,4k,30,120,Sony,Malaysia,24
Smart Tivi QLED Samsung 4K 65 inch QA65Q60BAKXXV,2022,"Dual LED, Supreme UHD Dimming, Motion Xcelerator, Brightness/Color Detection",15990000,Tivi QLED,65,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 43 inch KD-43X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",9890000,Google Tivi,43,4k,20,50,Sony,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU7002KXXV,2022,"Crystal Processor 4K, HDR 10+, UHD 4K, UHD Dimming, Contrast Enhancer, Filmmaker Mode (FMM), One Billion Color, Auto Motion Plus",10400000,Smart Tivi,55,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",13390000,Google Tivi,55,4k,20,50,Sony,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X80L VN3,2023,"Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Làm mượt chuyển động XR Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",16890000,Google Tivi,55,4k,20,60,Sony,Malaysia,24
Google Tivi Sony 4K 43 inch KD-43X80L VN3,2023,"Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Làm mượt chuyển động XR Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",13890000,Google Tivi,43,4k,20,60,Sony,Malaysia,24
Google Tivi TCL LED 4K 55 inch 55P638,2022,HDR10,7990000,Google Tivi,55,4k,20,60,Tcl,Việt Nam,24
Google Tivi Sony 4K 65 inch KD-65X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",17390000,Google Tivi,65,4k,20,50,Sony,Việt Nam,24
Android Tivi TCL HD 32 inch 32S5400A,2023,HDR10,3990000,Android Tivi,32,HD,16,60,Tcl,Việt Nam,24
Google Tivi TCL LED 4K 43 inch 43P638,2022,HDR10,6590000,Google Tivi,43,4k,20,60,Tcl,Việt Nam,24
Google Tivi QLED TCL 4K 43 Inch 43C645,2023,"QLED, AiPQ Gen 3.0, Dolby Vision, Độ sáng cao lên đến 450 nits",7890000,Tivi QLED,43,4k,20,60,Tcl,Việt Nam,24
Google Tivi Sony 4K 50 inch KD-50X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",13390000,Google Tivi,50,4k,20,50,Sony,Việt Nam,24
Google Tivi Sony HD 32 inch KD-32W830K,2022,"Motionflow XR 200, Live Colour, X-Reality PRO",7490000,Google Tivi,32,HD,20,50,Sony,Việt Nam,24
Google Tivi TCL LED 4K 65 inch 65P638,2022,HDR10,10590000,Google Tivi,65,4k,20,60,Tcl,Việt Nam,24
Smart Tivi QLED Samsung 4K 55 inch QA55Q60BAKXXV,2022,"Motion Xcelerator, Supreme UHD Dimming, Brightness/Color Detection",13490000,Tivi QLED,55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED Samsung 4K 43 inch QA43Q60BAKXXV,2022,"QuantumProcessor4K,HDR, Dual LED, UHD Dimming, Motion Xcelerator, Brightness/Color Detection",12400000,Tivi QLED,43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Crystal Samsung UHD 4K 55 inch UA55BU8000KXXV,2022,"Dynamic Crystal Color, UHD Dimming, Auto Motion Plus",12900000,Smart Tivi,55,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 65 inch KD-65X80L VN3,2023,"Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Làm mượt chuyển động XR Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",20890000,Google Tivi,65,4k,20,60,Sony,Malaysia,24
Smart Tivi Samsung 4K 65 inch UA65AU7700KXXV,2021,"Crystal Processor 4K, HDR 10+, Pur Color, Nâng cấp Tương phản, UHD Dimming, Auto Game Mode (ALLM)",14900000,Smart Tivi,65,4k,20,60,Samsung,Việt Nam,24
Google Tivi QLED TCL 4K 55 Inch 55C645,2023,"QLED, AiPQ Gen 3.0, Dolby Vision, Độ sáng cao lên đến 450 nits",10590000,Tivi QLED,55,4k,20,60,Tcl,Việt Nam,24
Smart Tivi NanoCell LG 4K 43 inch 43NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",11390000,Smart Tivi NanoCell,43,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung 4K 43 inch UA43AU7700KXXV,2021,"Crystal Processor 4K, HDR 10+, Pur Color, Nâng cấp Tương phản, UHD Dimming, Auto Game Mode (ALLM)",8900000,Smart Tivi,43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Crystal Samsung UHD 4K 65 inch UA65BU8000KXXV,2022,"Dynamic Crystal Color, UHD Dimming",14590000,Smart Tivi,65,4k,20,60,Samsung,Việt Nam,24
Smart Tivi LG 4K 55 inch 55UR8050PSB,2023,"Cải thiện hình ảnh AI Picture Pro, Nâng cấp chất lượng hình ảnh AI Super Upscaling 4K, Xử lý độ tương phản Dynamic Tone Mapping, Tự động điều chỉnh độ sáng bởi AI, Chế độ điện ảnh FILMMAKER MODE ™, HDR10, HLG, Tương thích HEVC…",12890000,Smart Tivi,55,4k,20,60,Lg,Indonesia,24
Android Tivi TCL Full HD 40 inch 40S5400A,2023,HDR10,4990000,Android Tivi,40,Full HD,19,60,Tcl,Việt Nam,24
Smart Tivi LED LG 4K 43 inch 43UQ7550PSF,2022,"4K AI Upscaling, Picture Mode, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, HEVC, AV1, VP9, Phản hồi trò chơi tức thì (VRR/ALLM/GameGenre)",8990000,Smart Tivi,43,4k,20,60,Lg,Indonesia,24
Google Tivi Sony 4K 50 inch KD-50X80L VN3,2023,"Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Làm mượt chuyển động XR Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",16390000,Google Tivi,50,4k,20,60,Sony,Malaysia,24
Smart Tivi Crystal Samsung UHD 4K 43 inch UA43BU8000KXXV,2022,Bộ xử lý tinh thể 4K,9900000,Smart Tivi,43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 65 inch UA65AU7002KXXV,2022,"Crystal Processor 4K, HDR 10+, UHD 4K, UHD Dimming, Contrast Enhancer, Filmmaker Mode (FMM), One Billion Color, Auto Motion Plus",13400000,Smart Tivi,65,4k,20,60,Samsung,Việt Nam,24
Google Tivi Hisense 4K 55 inch 55A6500K,2023,Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision,8490000,Google Tivi,55,4k,20,60,Hisense,Thái Lan,24
Google Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",13390000,Google Tivi,55,4k,20,50,Sony,Việt Nam,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",13890000,Smart Tivi NanoCell,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 75 inch QA75Q80CAKXXV,2023,"Neural Quantum 4K, Quantum HDR+, Direct Full Array 8X, Supreme UHD Dimming, Motion Xcelerator Turbo+, Wide Viewing Angle",45900000,Smart Tivi QLED,75,4k,40,120,Samsung,Việt Nam,24
Smart Tivi OLED Samsung 4K 65 inch QA65S95BAKXXV,2022,"Neo Quantum 4K, Quantum Dot, HDR, OLED, Real Depth Enhancer, Ultra Viewing Angle",42900000,Smart Tivi OLED,65,4k,60,120,Samsung,Việt Nam,24
Smart Tivi NanoCell LG 4K 65 inch 65NANO76SQA,2022,"4K Upscaling, Active HDR- HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), HGIG Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",16890000,Smart Tivi NanoCell,65,4k,20,60,Lg,Indonesia,24
Smart Tivi LED LG 4K 55 inch 55UQ8000PSC,2022,"Nâng cấp độ phân giải 4K AI Upscaling, nâng cấp hình ảnh Image Enhancing, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, LG Local Contrast",12490000,Smart Tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 65 inch QA65Q70CAKXXV,2023,"Quantum 4K, Quantum HDR, Dual LED, Motion Xcelerator Turbo+, Wide Viewing Angle",25900000,Smart Tivi QLED,65,4k,20,120,Samsung,Việt Nam,24
Google Tivi Hisense 4K 55 inch 55A6500H,2022,Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision,7890000,Google TV,55,4k,20,60,Hisense,Thái Lan,24
Smart Tivi QLED Samsung 4K 55 inch QA55Q60BAKXXV,2022,"Motion Xcelerator, Supreme UHD Dimming, Brightness/Color Detection",13490000,Tivi QLED,55,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 65 inch XR-65X90L VN3,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity",32890000,Google Tivi,65,4k,30,120,Sony,Malaysia,24
Google Tivi QLED TCL 4K 65 Inch 65C645,2023,"QLED, AiPQ Gen 3.0, Dolby Vision, Độ sáng cao lên đến 450 nits",13190000,Tivi QLED,65,4k,20,60,Tcl,Việt Nam,24
Smart Tivi LED LG 4K 55 inch 55UQ7550PSF,2022,"4K AI Upscaling, Picture Mode, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, HEVC, AV1, VP9, Phản hồi trò chơi tức thì (VRR/ALLM/GameGenre)",11890000,Smart Tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi LED LG 4K 43 inch 43UQ8000PSC,2022,"Nâng cấp độ phân giải 4K AI Upscaling, nâng cấp hình ảnh Image Enhancing, Active HDR, FILMMAKER MODE™, HDR DynamicTone Mapping, HDR10 Pro, HLG, LG Local Contrast",9890000,Smart Tivi,43,4k,20,60,Lg,Indonesia,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",13890000,Smart Tivi NanoCell,55,4k,20,60,Lg,Indonesia,24
Android Tivi Hisense Full HD 40 inch 40A4200G,2022,"Công nghệ xử lý hình ảnh HEVC (H.265) decoder,OD Dimming",4590000,Android Tivi,40,Full HD,20,60,Hisense,Thái Lan,24
Smart Tivi NanoCell LG 4K 65 inch 65NANO76SQA,2022,"4K Upscaling, Active HDR- HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), HGIG Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",16890000,Smart Tivi NanoCell,65,4k,20,60,Lg,Indonesia,24
Google Tivi Hisense 4K 43 inch 43A6500K,2023,Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision,6490000,Google Tivi,43,4k,20,60,Hisense,Thái Lan,24
Smart Tivi QNED LG 4K 55 inch 55QNED80SRA.ATV,2023,"Dải màu rộng QNED Color, Cải thiện hình ảnh AI Picture Pro, Nâng cấp chất lượng hình ảnh AI Super Upscaling 4K, Xử lý độ tương phản Dynamic Tone Mapping, Công nghệ tối mờ cục bộ Precision Dimming, Tự động điều chỉnh độ sáng bởi AI…",18890000,QNED TV,55,4k,20,120,Lg,Indonesia,24
Google Tivi Sony 4K 55 inch XR-55X90L VN3,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity",26890000,Google Tivi,55,4k,30,120,Sony,Malaysia,24
Smart Tivi QLED Samsung 4K 65 inch QA65Q70CAKXXV,2023,"Quantum 4K, Quantum HDR, Dual LED, Motion Xcelerator Turbo+, Wide Viewing Angle",25900000,Smart Tivi QLED,65,4k,20,120,Samsung,Việt Nam,24
Google Tivi Sony 4K 65 inch KD-65X85L VN3,2023,"Auto Mode, Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos, Làm mượt chuyển động X - Motion Clarity",25890000,Google Tivi,65,4k,20,120,Sony,Malaysia,24
Smart Tivi Samsung Crystal UHD 4K 43 inch UA43AU7002KXXV,2022,"Crystal Processor 4K, HDR 10+, UHD 4K, UHD Dimming, Contrast Enhancer, Filmmaker Mode (FMM), One Billion Color, Auto Motion Plus",7900000,Smart Tivi,43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi LG 4K 65 inch 65UR8050PSB,2023,"Cải thiện hình ảnh AI Picture Pro, Nâng cấp chất lượng hình ảnh AI Super Upscaling 4K, Xử lý độ tương phản Dynamic Tone Mapping, Tự động điều chỉnh độ sáng bởi AI, Chế độ điện ảnh FILMMAKER MODE ™, HDR10, HLG, Tương thích HEVC…",15390000,Smart Tivi,65,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung 4K 55 inch UA55AU7700KXXV,2021,"Crystal Processor 4K, HDR 10+, Pur Color, Nâng cấp Tương phản, UHD Dimming, Auto Game Mode (ALLM)",11900000,Smart Tivi,55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED Samsung 4K 50 inch QA50Q60BAKXXV,2022,"Motion Xcelerator, Supreme UHD Dimming, Brightness/Color Detection",14400000,Tivi QLED,50,4k,20,60,Samsung,Việt Nam,24
Google Tivi ULED Hisense 4K 55 inch 55U6K,2023,"Full Array Local Dimming, Quantum Dot Colour, Adaptive Light Sensor, Dolby Vision, HDR10, HDR10+ và HLG, Công nghệ Filmmaker Mode, Công nghệ Game Mode Plus, AI Sports Mode, AI Picture,…",11990000,Smart Tivi,55,4k,20,60,Hisense,Thái Lan,36
Google Tivi OLED Sony 4K 65 inch XR-65A80L VN3,2023,"Chuyển động mượt XR OLED Motion, Dolby Vision, HDR10, HLG, Tăng độ tương phản XR OLED Contrast Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm",62890000,Google Tivi OLED,65,4k,50,120,Sony,Malaysia,24
Smart Tivi Crystal Samsung UHD 4K 50 inch UA50BU8000KXXV,2022,"Micro Dimming, Auto Motion Plus, Hỗ trợ HDR 10+",11900000,Smart Tivi,50,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X85L VN3,2023,"Bộ xử lý X1 4K HDR Processor cho hình ảnh trung thực, sắc nét; Công nghệ tạo màu Triluminos PRO với hơn 1 tỷ màu sắc sống động; Công nghệ 4K X-Reality PRO tự động nâng cấp hình ảnh lên 4K; Công nghệ chuyển động X-Motion Clarity, Auto mode",20890000,Google Tivi,55,4k,20,120,Sony,Malaysia,24
Smart Tivi NanoCell LG 4K 50 inch 50NANO76SQA,2022,"4K Upscaling, Active HDR - HDR10 Pro, FILMMAKER MODE™, Dynamic Tone Mapping, AV1 (Video Decoder), Picture Mode (9 modes: Vivid, Standard, Eco, Cinema, Sports, Game, Filmmaker, (ISF)Expert(Bright Room), (ISF)Expert(Dark Room))",13890000,Smart Tivi NanoCell,50,4k,20,60,Lg,Indonesia,24
Smart Tivi QLED Samsung 4K 75 inch QA75Q60BAKXXV,2022,"Dual LED, Supreme UHD Dimming, Motion Xcelerator, Brightness/Color Detection",28900000,Tivi QLED,75,4k,20,60,Samsung,Việt Nam,24
Google Tivi Hisense 4K 65 inch 65A6500K,2023,Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision,10990000,Google Tivi,65,4k,20,60,Hisense,Thái Lan,24
Smart Tivi OLED Samsung 4K 65 inch QA65S95BAKXXV,2022,"Neo Quantum 4K, Quantum Dot, HDR, OLED, Real Depth Enhancer, Ultra Viewing Angle",42900000,Smart Tivi OLED,65,4k,60,120,Samsung,Việt Nam,24
